Name,Sig. Str. By Position - Standing,Sig. Str. By Position - Clinch,Sig. Str. By Position - Ground,Win by Method - KO/TKO,Win by Method - DEC,Win by Method - SUB,Status,Place of Birth,Trains at,Fighting style,Age,Height,Weight,Octagon Debut,Reach,Leg reach,Weight Class,gender
Abdul Razak Alhassan,212 (74%),44 (15%),29 (10%),12 (100%),0 (0%),0 (0%),Active,Ghana,Team Elevation,Muay Thai,38,70.00,185.50,"Nov. 19, 2016",73.00,39.00,Middleweight Division,man
Bill Algeo,584 (81%),78 (11%),62 (9%),4 (24%),6 (35%),7 (41%),Active,"Boothwyn, United States",,MMA,34,72.00,146.00,"Aug. 29, 2020",73.00,40.00,Featherweight Division,man
Marcio Alexandre,51 (75%),9 (13%),8 (12%),10 (77%),1 (8%),2 (15%),Active,"Florianopolis, Brazil",Black House MMA,,34,73.00,186.00,"May. 31, 2014",75.00,,Middleweight Division,man
Lucas Alexander,90 (93%),1 (1%),6 (6%),3 (38%),5 (63%),0 (0%),Active,Brazil,,Striker,28,71.00,148.00,"Oct. 15, 2022",73.00,41.00,Featherweight Division,man
Talita Alencar,36 (51%),11 (15%),24 (34%),0 (0%),1 (25%),3 (75%),Active,"Carutapera, Brazil",,Grappler,33,61.00,123.00,"Dec. 9, 2023",58.50,35.00,Women's Strawweight Division,women
Irina Alekseeva,61 (92%),3 (5%),2 (3%),1 (20%),2 (40%),2 (40%),Active,Kazakhstan,,Sambo,33,68.00,141.00,"Apr. 29, 2023",,,Women's Bantamweight Division,women
JJ Aldrich,608 (79%),89 (12%),74 (10%),3 (25%),9 (75%),0 (0%),Active,"Denver, United States","Elevation Fight Team - Denver, CO",Striker,30,65.00,133.00,"Dec. 10, 2016",67.50,37.00,Women's Flyweight Division,women
Jose Alday,44 (94%),3 (6%),0 (0%),0 (0 %),0 (0 %),0 (0 %),Active,"Nacozari de García, Mexico",,,31,67.00,136.00,"Mar. 13, 2024",68.00,38.00,Bantamweight Division,man
Irene Aldana,881 (88%),53 (5%),62 (6%),8 (57%),3 (21%),3 (21%),Active,"Culiacán, Mexico",,Striker,35,69.00,136.00,"Dec. 18, 2016",68.50,38.50,Women's Bantamweight Division,women
Amir Albazi,139 (81%),3 (2%),30 (17%),5 (29%),3 (18%),9 (53%),Active,"Baghdad, Iraq","Xtreme Couture - Las Vegas, NV",Jiu-Jitsu,30,65.00,126.00,"Jul. 18, 2020",68.00,38.00,Flyweight Division,man
Alatengheili,250 (96%),1 (0%),10 (4%),5 (33%),7 (47%),3 (20%),Active,"Alxa, China","Fight Ready - Scottsdale, AZ",,31,65.00,135.00,"Aug. 31, 2019",66.50,35.00,Bantamweight Division,man
Herdem Alacabek,24 (43%),26 (46%),6 (11%),0 (0 %),0 (0 %),0 (0 %),Active,,,,32,74.00,205.00,"Mar. 12, 2024",74.50,41.00,Light Heavyweight Division,man
Abdul-Kareem Al-Selwady,102 (95%),5 (5%),0 (0%),8 (53%),5 (33%),2 (13%),Active,"Baton Rouge, United States",Fortis MMA,MMA,28,68.00,172.40,"Mar. 2, 2024",69.00,39.00,Lightweight Division,man
Nick Aguirre,18 (95%),1 (5%),0 (0%),3 (43%),0 (0%),4 (57%),Active,"Cicero, United States",,Freestyle,27,69.00,142.00,"Jan. 14, 2023",74.00,40.00,Bantamweight Division,man
Jesus Aguilar,23 (49%),6 (13%),18 (38%),1 (10%),3 (30%),6 (60%),Active,"Ensenada, Mexico",,Freestyle,27,64.00,140.00,"Feb. 4, 2023",62.50,36.00,Flyweight Division,man
Fabio Agu,0 (0 %),0 (0 %),0 (0 %),0 (0 %),0 (0 %),0 (0 %),Active,,,,35,,,"Mar. 13, 2024",,,Middleweight Division,man
Mariya Agapova,160 (67%),38 (16%),40 (17%),3 (30%),2 (20%),5 (50%),Active,Kazakhstan,American Top Team,Kickboxer,26,66.00,125.50,"Jun. 13, 2020",68.50,38.50,Women's Flyweight Division,women
Israel Adesanya,1052 (92%),60 (5%),36 (3%),16 (70%),7 (30%),0 (0%),Active,"Lagos, Nigeria",City Kickboxing,Freestyle,34,76.00,184.80,"Feb. 11, 2018",80.00,44.50,Middleweight Division,man
Hamdy Abdelwahab,30 (52%),2 (3%),26 (45%),5 (100%),0 (0%),0 (0%),Active,Egypt,,Wrestler,30,74.00,264.50,"Jul. 30, 2022",72.00,41.00,Heavyweight Division,man
Nariman Abbassov,45 (100%),0 (0%),0 (0%),0 (0 %),0 (0 %),0 (0 %),Active,Kazakhstan,,,29,,156.00,"Mar. 12, 2024",,,Lightweight Division,man
